"","huc12","crop","crop_name","acres"
"368",170601100101,121,"Developed/Open Space",161.013256
"369",170601100101,122,"Developed/Low Intensity",11.564488
"370",170601100101,123,"Developed/Med Intensity",2.001546
"371",170601100101,141,"Deciduous Forest",0.222394
"372",170601100101,142,"Evergreen Forest",2.668728
"373",170601100101,152,"Shrubland",655.839906
"374",170601100101,176,"Grassland/Pasture",6688.944338
"375",170601100101,205,"Triticale",41.14289
"376",170601100102,24,"Winter Wheat",0.222394
"377",170601100102,61,"Fallow/Idle Cropland",6.67182
"378",170601100102,69,"Grapes",0.222394
"379",170601100102,111,"Open Water",90.959146
"380",170601100102,121,"Developed/Open Space",10.674912
"381",170601100102,122,"Developed/Low Intensity",17.346732
"382",170601100102,123,"Developed/Med Intensity",11.1197
"383",170601100102,124,"Developed/High Intensity",0.444788
"384",170601100102,131,"Barren",17.124338
"385",170601100102,142,"Evergreen Forest",0.444788
"386",170601100102,152,"Shrubland",140.10822
"387",170601100102,176,"Grassland/Pasture",915.596098
"388",170601060306,36,"Alfalfa",0.444788
"389",170601060306,43,"Potatoes",0.222394
"390",170601060306,121,"Developed/Open Space",0.444788
"391",170601060306,123,"Developed/Med Intensity",0.667182
"392",170601060306,142,"Evergreen Forest",14027.50155
"393",170601060306,152,"Shrubland",1649.273904
"394",170601060306,176,"Grassland/Pasture",1143.327554
"395",170601060309,131,"Barren",0.222394
"396",170601060309,142,"Evergreen Forest",15193.290898
"397",170601060309,152,"Shrubland",773.93112
"398",170601060309,176,"Grassland/Pasture",1248.297522
"399",170601070504,23,"Spring Wheat",23.128976
"400",170601070504,24,"Winter Wheat",18.458702
"401",170601070504,61,"Fallow/Idle Cropland",26.020098
"402",170601070504,121,"Developed/Open Space",0.889576
"403",170601070504,152,"Shrubland",3.780698
"404",170601070504,176,"Grassland/Pasture",19.793066
"405",170601070505,23,"Spring Wheat",289.556988
"406",170601070505,24,"Winter Wheat",1258.972434
"407",170601070505,31,"Canola",75.391566
"408",170601070505,36,"Alfalfa",32.469524
"409",170601070505,53,"Peas",7.339002
